"true_model","noise_type","time_sampling","noise_parameter","distinct_model_parameters","distinct_runs","run_no","maximum_SM","slope_param_SM","midpoint_SM","final_asymptoteIntensity_ratio_DSM","maximum_DSM","slope1_param_DSM","midpoint1_param_DSM","slope2_param_DSM","midPoint_distance_param_DSM","n_samples","t_min","t_max"
"SM","additive","equidistant",0,1,1,1,16.0236056318972,2.03602515095981,14.006241587922,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0,2,1,2,1.78658803834114,0.406179529569063,6.27340878546238,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0,3,1,3,6.28505575607996,29.511543964117,9.70587332546711,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0,4,1,4,17.1710949056316,0.158191712150177,13.5814762394875,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0,5,1,5,6.61504318984225,58.4016037100197,11.9927833434194,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0,6,1,6,10.8185150545556,1.42991882988505,20.6638498976827,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0,7,1,7,10.1354067893699,2.37001145162176,16.9677288495004,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0,8,1,8,11.774193017371,0.791168969771366,20.2584075685591,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0,9,1,9,18.9183918807656,1.98718108638406,26.5922737922519,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0,10,1,10,13.2476090905024,0.244255259438736,4.32277795113623,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.15,1,1,11,3.45613156701438,0.276963603339974,25.6195251401514,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.15,2,1,12,7.23525175196119,3.97029505631642,25.4242669790983,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.15,3,1,13,16.7957626986084,2.32798445558244,17.6348673664033,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.15,4,1,14,15.891196268145,0.722386151049975,9.3363388851285,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.15,5,1,15,0.688634693180211,0.581138669559729,15.6029672026634,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.15,6,1,16,11.045645115478,1.63230479114195,18.7471221908927,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.15,7,1,17,7.16295078871772,2.76314422281734,11.5637060645968,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.15,8,1,18,0.509556430880912,3.51830570559175,7.62886427342892,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.15,9,1,19,15.5324899465311,0.636845705866677,3.55843787826598,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.15,10,1,20,1.21011040585581,0.64399273594339,14.2657877001911,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.3,1,1,21,8.27909363785293,0.00740080763360184,21.7675422113389,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.3,2,1,22,15.5076826507458,5.97861743217575,4.42427320964634,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.3,3,1,23,8.75021472591907,0.191299941291994,17.6505001466721,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.3,4,1,24,15.9072827730794,0.461851003251885,11.1953930910677,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.3,5,1,25,1.41683867035899,1.48315601686162,24.9725534543395,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.3,6,1,26,13.2044226831058,2.94477641525944,19.6575542930514,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.3,7,1,27,9.25155359657947,1.19591307380488,13.8138444554061,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.3,8,1,28,3.53074147498701,0.485497066509747,15.3415504395962,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.3,9,1,29,4.56079637028743,0.164154718881828,14.1575874388218,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.3,10,1,30,3.52327074236237,1.01245177177368,9.08710647001863,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.45,1,1,31,18.81100988572,2.42385395383653,17.9335467740893,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.45,2,1,32,14.0659455976216,0.956331684818519,7.17937955260277,NA,NA,NA,NA,NA,NA,55,3,30
"SM","additive","equidistant",0.45,3,1,33,4.54662060560659,7.54598629806775,10.7984786834568,NA,NA,NA,NA,NA,NA,55,3,30
